LotArea,SalePrice,LotArea_log,LotArea_inv,LotArea_quadratic,LotArea_boxCox
8450,208500,9.041921720351219,0.00011834319526627219,71402500,10.433679590956288
9600,181500,9.169518377455928,0.00010416666666666667,92160000,10.60280884913602
11250,223500,9.328123407632566,8.888888888888889e-05,126562500,10.813972813430135
9550,140000,9.164296433474776,0.00010471204188481675,91202500,10.595874052641216
14260,250000,9.565213693968287,7.012622720897616e-05,203347600,11.131569662032717
14115,143000,9.55499334068759,7.084661707403471e-05,199233225,11.117830763894961
10084,307000,9.218705288307811,9.916699722332408e-05,101687056,10.668184605147864
10382,200000,9.247828816387175,9.632055480639569e-05,107785924,10.706940464656716
6120,129900,8.719317375506371,0.0001633986928104575,37454400,10.009034729917122
7420,118000,8.911934336161426,0.00013477088948787063,55056400,10.262066773289913
11200,129500,9.323669057283185,8.928571428571429e-05,125440000,10.80802821304932
11924,345000,9.386308454797962,8.386447500838645e-05,142181776,10.891699592647951
12968,144000,9.470240063415512,7.711289327575571e-05,168169024,11.004066881414458
10652,279500,9.273502946933823,9.38790837401427e-05,113465104,10.741135051821635
10920,157000,9.298351249298896,9.157509157509158e-05,119246400,10.774255625308436
6120,132000,8.719317375506371,0.0001633986928104575,37454400,10.009034729917122
11241,149000,9.327323087461798,8.896005693443644e-05,126360081,10.812904677290517
10791,90000,9.286467732363734,9.266981744045964e-05,116445681,10.75841277830275
13695,159000,9.524786081697178,7.301935012778386e-05,187553025,11.077249491586615
7560,139000,8.930626469173578,0.00013227513227513228,57153600,10.286702149568924
14215,325300,9.5620530240851,7.034822370735139e-05,202066225,11.127320409200275
7449,139400,8.915835074176277,0.00013424620754463686,55487601,10.26720659101174
9742,230000,9.184201714366488,0.00010264832683227263,94906564,10.622314481797378
4224,129900,8.348537825386098,0.00023674242424242425,17842176,9.526184393878186
8246,154000,9.017483513266844,0.00012127091923356779,67996516,10.401362902141138
14230,256300,9.563107691083898,7.02740688685875e-05,202492900,11.1287382734064
7200,134800,8.881836305004146,0.0001388888888888889,51840000,10.222428879554961
11478,306000,9.348187438668308,8.712319219376198e-05,131744484,10.84075963908358
16321,207500,9.700207901150696,6.127075546841493e-05,266375041,11.313446447753556
6324,68500,8.752107198329362,0.00015812776723592663,39992976,10.052002757609229
8500,40000,9.047821442478408,0.00011764705882352942,72250000,10.441484950825428
8544,149350,9.052984561199976,0.00011704119850187266,72999936,10.44831695033534
11049,179900,9.310095205113175,9.050592813829306e-05,122080401,10.789918137488627
10552,165500,9.26407069439715,9.476876421531463e-05,111344704,10.728569366674122
7313,277500,8.89740886527095,0.00013674278681799536,53479969,10.242932704276626
13418,309000,9.504352368122833,7.452675510508272e-05,180042724,11.049819774382955
10859,145000,9.2927495082169,9.208951100469657e-05,117917881,10.766786779713023
8532,153000,9.05157907959124,0.00011720581340834506,72795024,10.446457065160208
7922,109000,8.977398978181862,0.00012623074981065388,62758084,10.348408655080402
